Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	HF1_1578259_CP_QC1	HF1_1578259_CP_QC2	HF1_1578259_CP_QC3	HF1_1578259_CP_QC4	HF1_1578259_CP_QC5
10	6.555	105.07023	Unknown	[M+H]+	found in higher mz's MsMs_2196; found in higher mz's MsMs_2107; found in higher mz's MsMs_582	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	133.36	HF1_1578259_CP_QC1	105.07017:4150797 106.07352:448027 107.07688:934169	103.05463:43514	4150797	4477638	3961153	3576175	3881972
11	6.809	105.07027	Unknown	[M+H]+	found in higher mz's MsMs_742; found in higher mz's MsMs_1215; found in higher mz's MsMs_410	0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	29.27	HF1_1578259_CP_QC1	105.07027:2145964 106.07362:156540 107.07698:1098831	62.04402:5315 79.05483:21991	2145964	2055006	1968567	1921050	1873612
12	8.005	105.07028	Unknown	[M+H]+	found in higher mz's MsMs_902; found in higher mz's MsMs_190; found in higher mz's MsMs_1356; found in higher mz's MsMs_2263	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	205.39	HF1_1578259_CP_QC1	105.07034:6376842 106.07369:786032 107.07705:2938573	77.03908:13382	6376842	7107960	6026798	6313284	5662918
13	7.346	105.07029	Unknown	[M+H]+	found in higher mz's MsMs_1314; found in higher mz's MsMs_467; found in higher mz's MsMs_188	0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	56.82	HF1_1578259_CP_QC1	105.07025:1918366 106.0736:0 107.07696:1420789	53.76503:4322 79.05467:20467	1918366	2099875	1868556	1807177	1820220
14	8.626	105.0703	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	66.98	HF1_1578259_CP_QC2	105.0703:2090041 106.07365:365370 107.07701:5306794		2030596	2090041	1557281	1551097	1521071
15	5.405	107.04955	Unknown	[M+H]+	found in higher mz's MsMs_444; found in higher mz's MsMs_1691; found in higher mz's MsMs_825; found in higher mz's MsMs_1587; found in higher mz's MsMs_590; found in higher mz's MsMs_602; found in higher mz's MsMs_2354; found in higher mz's MsMs_2478; found in higher mz's MsMs_2283; found in higher mz's MsMs_2233; found in higher mz's MsMs_692; found in higher mz's MsMs_364	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	63.43	HF1_1578259_CP_QC2	107.04955:3423545 108.0529:369719 109.05626:540539		3223975	3423545	2860392	2599919	2649550
16	7.347	107.08572	Unknown	[M+H]+	found in higher mz's MsMs_904	0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	15.79	HF1_1578259_CP_QC5	107.08572:1301538 108.08907:0 109.09243:1732116		1213535	1309730	1174095	1264543	1301538
17	6.898	107.08589	Unknown	[M+H]+	found in higher mz's MsMs_2221; similar chromatogram in higher mz_884; found in higher mz's MsMs_484	0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.14	HF1_1578259_CP_QC2	107.08589:1512469 108.08924:107166 109.0926:2104582		1409515	1512469	1418364	1333980	1323744
18	8.635	107.08595	Unknown	[M+H]+	found in higher mz's MsMs_790; found in higher mz's MsMs_567; found in higher mz's MsMs_210	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	90.16	HF1_1578259_CP_QC2	107.08595:5125301 108.0893:501712 109.09266:34245416		5059738	5125301	3671729	3814481	3756237
19	6.816	109.0288	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	30.1	HF1_1578259_CP_QC1	109.0288:2580135 110.03215:353690 111.03551:361526	79.05463:8520	2580135	2395498	2755455	2895898	2648513
20	6.455	109.10136	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	11.43	HF1_1578259_CP_QC1	109.10159:2508820 110.10494:321509 111.1083:135755	67.05492:29425	2508820	2908333	2822889	2558078	2672255
21	6.816	109.10142	Unknown	[M+H]+		0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	18.69	HF1_1578259_CP_QC3	109.10148:3080139 110.10483:236161 111.10819:172293	67.05499:22561	2983920	3079236	3080139	3326656	3017776
22	8.006	109.1015	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	74.52	HF1_1578259_CP_QC1	109.1016:6398329 110.10495:700531 111.10831:153010	67.05481:49855 71.5189:4387 79.05487:7504 81.07045:12415 85.67078:4905	6398329	6749477	6806834	6620378	6760622
23	8.164	109.10152	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	35.11	HF1_1578259_CP_QC3	109.10152:8461702 110.10487:985415 111.10823:122542	67.0548:45098	8572828	9291274	8461702	7582310	8425364
24	5.405	109.10152	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	48.29	HF1_1578259_CP_QC1	109.1016:4410120 110.10495:498867 111.10831:0	65.03886:7223	4410120	4617132	4797231	4541229	4769898
25	7.334	109.10155	Unknown	[M+H]+	similar chromatogram in higher mz_286	0.4	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	9.94	HF1_1578259_CP_QC5	109.10136:1803612 110.10471:183110 111.10807:0	56.47067:5034 67.05478:10411	1777145	1785420	2001596	1825177	1803612
26	8.637	109.10158	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	351.32	HF1_1578259_CP_QC1	109.10158:34564380 110.10493:3545434 111.10829:365506	55.05491:26031 67.05481:265930 69.07063:13871 79.05473:32962 81.07059:83035 99.5053:11159	34564380	34365864	25929390	28425646	26854150
27	5.535	109.10161	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	27.24	HF1_1578259_CP_QC1	109.10165:3785860 110.105:389283 111.10836:211294	67.05489:56139	3785860	3853633	3695403	3729141	3723300
28	1.052	110.00902	Unknown	[M+H]+	similar chromatogram in higher mz_402	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	1065.16	HF1_1578259_CP_QC1	110.00901:36577924 111.01236:7006492 112.01572:6910862	68.98275:60527 82.01433:21437 83.36584:7290 86.99332:59228 100.02475:25210 104.96426:6840 105.00361:23723	36577924	39107388	33376892	35427084	34328540
29	1.982	111.00808	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	26.89	HF1_1578259_CP_QC1	111.00808:3212580 112.01143:169190 113.01479:4689349		3212580	2959842	2794046	2790162	3008812
30	1.432	111.04433	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	11.94	HF1_1578259_CP_QC4	111.04433:1032231 112.04768:1294885 113.05104:607724		1172563	1036423	969174	1032231	941366
31	5.399	111.04439	Unknown	[M+H]+	found in higher mz's MsMs_2233; found in higher mz's MsMs_2207	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	10.91	HF1_1578259_CP_QC2	111.04439:1491776 112.04774:238312 113.0511:603292		1409024	1491776	1366371	1373199	1443381
32	7.372	111.0444	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	96.55	HF1_1578259_CP_QC2	111.0444:7695808 112.04775:279728 113.05111:0		7529423	7695808	7063591	7183006	7119726
33	8.152	111.08067	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	8.2	HF1_1578259_CP_QC3	111.08067:1250658 112.08402:74650 113.08738:206555		1181305	1210529	1250658	1092481	1139757
34	0.512	111.98448	Unknown	[M+H]+		0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	30.13	HF1_1578259_CP_QC4	111.98448:1038210 112.98783:1650590 113.99119:1456236		277253	864748	925638	1038210	433777
35	1.052	112.00655	Unknown	[M+H]+		0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	211.66	HF1_1578259_CP_QC2	112.00655:6667694 113.0099:277307 114.01326:979870		6414123	6667694	6016689	6294220	6065384
36	5.034	112.07606	Unknown	[M+H]+	found in higher mz's MsMs_396	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	46.46	HF1_1578259_CP_QC2	112.07613:1423798 113.07948:241674 114.08284:339061	70.06574:91329 94.1534:4595	1477479	1423798	1344904	1363438	1476844
37	1.08	112.08703	Unknown	[M+H]+	similar chromatogram in higher mz_1397; similar chromatogram in higher mz_1725; found in higher mz's MsMs_1824	0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	46.37	HF1_1578259_CP_QC5	112.08703:1405469 113.09038:245942 114.09374:1231441		1160650	1101487	1367534	1386865	1405469
38	1.272	112.8958	Unknown	[M+H]+	similar chromatogram in higher mz_855; similar chromatogram in higher mz_701; similar chromatogram in higher mz_943; similar chromatogram in higher mz_1585; similar chromatogram in higher mz_2137; found in higher mz's MsMs_1765; similar chromatogram in higher mz_532; similar chromatogram in higher mz_554; similar chromatogram in higher mz_732; similar chromatogram in higher mz_895; similar chromatogram in higher mz_913; similar chromatogram in higher mz_1525; similar chromatogram in higher mz_1591; similar chromatogram in higher mz_1633; similar chromatogram in higher mz_2055; similar chromatogram in higher mz_2296; similar chromatogram in higher mz_2909; found in higher mz's MsMs_1232; found in higher mz's MsMs_1674; found in higher mz's MsMs_2310	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	604.36	HF1_1578259_CP_QC5	112.8958:3667893 113.89915:0 114.90251:1203764		3452997	3149214	3603537	3284688	3667893
39	0.512	112.95598	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	30.81	HF1_1578259_CP_QC4	112.95598:1427515 113.95933:20816036 114.96269:8800631		329722	1257244	1091998	1427515	525694
40	1.497	112.99995	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	92.83	HF1_1578259_CP_QC5	112.99995:3177662 114.0033:0 115.00666:0		2588054	2753060	3017576	2890105	3177662
41	1.338	113.00004	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	152.8	HF1_1578259_CP_QC4	113.00004:3339818 114.00339:65056 115.00675:0		2394576	2901766	2734528	3339818	2770264
42	0.516	113.96382	Unknown	[M+H]+	found in higher mz's MsMs_403	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	75.7	HF1_1578259_CP_QC4	113.96382:7725359 114.96717:4188258 115.97053:3481912		2003570	6648782	7088728	7725359	4326071
43	1.05	114.00393	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	12.92	HF1_1578259_CP_QC1	114.00393:1189743 115.00728:117084 116.01064:1728311		1189743	960196	888983	808093	804191
44	1.12	114.10265	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	48.29	HF1_1578259_CP_QC5	114.10265:1213531 115.106:191801 116.10936:123317	62.55519:5058 72.08122:13859	936852	915436	1195843	1008125	1213531
45	1.275	114.89295	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	263.24	HF1_1578259_CP_QC5	114.89295:1219986 115.8963:0 116.89966:182315		1149938	1017712	1116111	1034688	1219986
46	0.516	114.98425	Unknown	[M+H]+	found in higher mz's MsMs_403	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	124.03	HF1_1578259_CP_QC3	114.98425:9128955 115.9876:1556406 116.99096:500745		1840770	7410360	9128955	8790857	3236390
47	1.052	114.98788	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	157.83	HF1_1578259_CP_QC1	114.98788:8782349 115.99123:1578344 116.99459:1985376	68.98283:27172	8782349	7044555	5613201	8305790	8048696
48	6.813	115.05431	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	66.91	HF1_1578259_CP_QC1	115.05455:5150743 116.0579:1279861 117.06126:2260070	89.03896:14446	5150743	4673738	5488618	5508196	5539194
49	7.344	115.05444	Unknown	[M+H]+	found in higher mz's MsMs_409	0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	39.14	HF1_1578259_CP_QC1	115.05454:4344191 116.05789:870039 117.06125:1916748	60.78814:5776 74.28329:4479 89.03916:4986 91.37779:5212	4344191	4059807	4093402	4472449	4121488
50	8.013	115.05446	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	156.99	HF1_1578259_CP_QC1	115.05464:8343126 116.05799:2032032 117.06135:4329045	50.23714:4609 53.57127:6465 89.03894:17909 90.94968:4953 93.51326:4641 115.05456:73764	8343126	8408349	8881536	9535329	9168371
51	5.395	115.05456	Unknown	[M+H]+	found in higher mz's MsMs_1129	0.4	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	48.65	HF1_1578259_CP_QC1	115.05456:4197156 116.05791:950414 117.06127:1099146	53.61316:5063	4197156	4096352	4116555	3975544	3984706
52	5.175	115.05463	Unknown	[M+H]+	found in higher mz's MsMs_1617; found in higher mz's MsMs_784; found in higher mz's MsMs_501	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	50.25	HF1_1578259_CP_QC2	115.05463:2815472 116.05798:508010 117.06134:4800631		2681589	2815472	2658675	2755272	2630675
53	0.513	115.96421	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	18.24	HF1_1578259_CP_QC4	115.96421:1227844 116.96756:7376902 117.97092:1288826		414070	1013520	947653	1227844	789880
54	1.384	116.07076	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	268.2	HF1_1578259_CP_QC1	116.07088:13435051 117.07423:1061635 118.07759:3495621	70.06583:21570	13435051	15121712	13116716	15469377	13832653
55	2.432	116.07088	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	44.43	HF1_1578259_CP_QC3	116.07088:3291838 117.07423:230497 118.07759:405205	52.55299:3608 57.03856:4154 64.75841:4175 68.04327:4179 73.43477:5854 75.41887:4232 83.37574:4447 85.73552:4026 95.86285:4570	2970118	3028089	3291838	3503088	3549202
56	0.516	116.96336	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	20.54	HF1_1578259_CP_QC5	116.96336:2343044 117.96671:745608 118.97007:13647492		617507	1402075	1681066	2073630	2343044
57	1.054	116.98565	Unknown	[M+H]+	found in higher mz's MsMs_1081; found in higher mz's MsMs_600; found in higher mz's MsMs_1108; found in higher mz's MsMs_655	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	20.51	HF1_1578259_CP_QC1	116.98565:1861886 117.989:176155 118.99236:124539		1861886	1503460	1482532	1702336	1688012
58	11.821	116.98629	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	136.74	HF1_1578259_CP_QC3	116.98629:11609188 117.98964:289081 118.993:27678386		10968574	11093766	11609188	11490304	10216158
59	5.402	117.03381	Unknown	[M+H]+	found in higher mz's MsMs_1691; found in higher mz's MsMs_2437; found in higher mz's MsMs_825; found in higher mz's MsMs_1777; found in higher mz's MsMs_2478; found in higher mz's MsMs_2354; found in higher mz's MsMs_692; found in higher mz's MsMs_590; found in higher mz's MsMs_444	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	96	HF1_1578259_CP_QC1	117.03377:6794738 118.03712:731699 119.04048:6788195	51.16019:4564	6794738	6922646	6176217	5990896	6234402
60	5.237	117.03383	Unknown	[M+H]+	found in higher mz's MsMs_2325; found in higher mz's MsMs_1770; found in higher mz's MsMs_1241	0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	40.03	HF1_1578259_CP_QC3	117.03383:3508086 118.03718:509591 119.04054:1300555		3109628	3049968	3508086	3144629	3322444
61	4.858	117.05756	Unknown	[M+H]+	similar chromatogram in higher mz_86; found in higher mz's MsMs_831; similar chromatogram in higher mz_69; similar chromatogram in higher mz_169; similar chromatogram in higher mz_713; similar chromatogram in higher mz_2285; similar chromatogram in higher mz_2728; similar chromatogram in higher mz_2794; similar chromatogram in higher mz_2815; similar chromatogram in higher mz_327; similar chromatogram in higher mz_2961	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	52.04	HF1_1578259_CP_QC4	117.05756:3842862 118.06091:5966509 119.06427:2323498		3612294	3661426	3670435	3842862	3747192
62	5.172	117.05767	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	45.12	HF1_1578259_CP_QC2	117.05767:3886736 118.06102:20295008 119.06438:2241730	50.01345:4916 89.03895:13054 91.05456:5686	3894011	3886736	3619564	3804099	3774864
